frame_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7404083013534546,0.623013436794281,-4.5950466187605343e-07,0.6712068319320679,0.5807366371154785,-0.010458836331963539,0.6200248003005981,0.5226172208786011,-0.023103395476937294,0.5885862112045288,0.4691893756389618,-0.0423109270632267,0.5584406852722168,0.4159333109855652,-0.05941185727715492,0.6268771886825562,0.4185786545276642,0.012931949459016323,0.589317262172699,0.360907644033432,-0.023550253361463547,0.5643448233604431,0.37268033623695374,-0.05164312571287155,0.5484679937362671,0.4023633301258087,-0.06483658403158188,0.6604347825050354,0.39836424589157104,0.00138988031540066,0.6143279075622559,0.33360612392425537,-0.034145060926675797,0.584147036075592,0.3576124310493469,-0.05256970226764679,0.563422679901123,0.3866739869117737,-0.05825556814670563,0.7002720832824707,0.39058828353881836,-0.016067663207650185,0.6479003429412842,0.351396769285202,-0.05482792854309082,0.6508705019950867,0.4322962462902069,-0.0520767979323864,0.6635453701019287,0.49572572112083435,-0.038888800889253616,0.7474376559257507,0.3963044285774231,-0.035224176943302155,0.6978617906570435,0.37806159257888794,-0.05872360244393349,0.68443363904953,0.43873751163482666,-0.05116760730743408,0.6851404309272766,0.490298867225647,-0.038951482623815536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7365943789482117,0.6079932451248169,-3.479182169030537e-07,0.6753696799278259,0.574463963508606,-0.013777242042124271,0.6256933212280273,0.5117597579956055,-0.02601507119834423,0.5968603491783142,0.4581989645957947,-0.04325876012444496,0.5628176331520081,0.4128981828689575,-0.05879143625497818,0.6311482191085815,0.4173632860183716,0.005075141787528992,0.594673752784729,0.3622615933418274,-0.03494679182767868,0.567521870136261,0.36563265323638916,-0.06508279591798782,0.5501832365989685,0.39069250226020813,-0.07923982292413712,0.6649414896965027,0.39608311653137207,-0.005596974864602089,0.6196919679641724,0.33162862062454224,-0.04582539573311806,0.5913110375404358,0.3537530303001404,-0.06572598218917847,0.5748016238212585,0.3851433992385864,-0.07061009854078293,0.7046255469322205,0.38832995295524597,-0.02215626649558544,0.6522086262702942,0.3525678813457489,-0.06433626264333725,0.656758189201355,0.42998701333999634,-0.06242534518241882,0.6718781590461731,0.49041691422462463,-0.04844069853425026,0.7510383129119873,0.39349526166915894,-0.04059299826622009,0.7022919654846191,0.37905117869377136,-0.06735966354608536,0.6887156963348389,0.4351860284805298,-0.061366792768239975,0.6889263987541199,0.4817301034927368,-0.049433838576078415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7347347736358643,0.6004288196563721,-1.0010658968440111e-07,0.6756913661956787,0.5788566470146179,-0.016915569081902504,0.6223459243774414,0.5131206512451172,-0.027798855677247047,0.589970052242279,0.4559386372566223,-0.04301455244421959,0.5504534244537354,0.41501274704933167,-0.05695724859833717,0.6311690211296082,0.41060611605644226,0.000420395313994959,0.594964861869812,0.3436617851257324,-0.03353360295295715,0.5682536363601685,0.32240352034568787,-0.06009424477815628,0.5412559509277344,0.32066601514816284,-0.07472892105579376,0.6670306921005249,0.39062759280204773,-0.009675071574747562,0.6296340823173523,0.3185366988182068,-0.04941423237323761,0.5975528955459595,0.31321290135383606,-0.07204736024141312,0.5668702125549316,0.3207034468650818,-0.07985043525695801,0.707761824131012,0.38588422536849976,-0.024793727323412895,0.6590384840965271,0.34700238704681396,-0.06986629962921143,0.6612455248832703,0.4258682429790497,-0.06974717974662781,0.6689201593399048,0.48920780420303345,-0.05582376942038536,0.7528917193412781,0.394156277179718,-0.04168824851512909,0.7081042528152466,0.37328723073005676,-0.07229148596525192,0.6918225884437561,0.42786550521850586,-0.06775075197219849,0.6863847970962524,0.47668349742889404,-0.05612127110362053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7389767169952393,0.5938196778297424,2.4064729586825706e-07,0.6758866310119629,0.5761595368385315,-0.02272987738251686,0.6199349761009216,0.5177505016326904,-0.036748290061950684,0.5784938931465149,0.46619901061058044,-0.05433967709541321,0.5342384576797485,0.43260353803634644,-0.07102297246456146,0.6305240392684937,0.4060288667678833,-0.011049693450331688,0.5896010994911194,0.34119975566864014,-0.041852910071611404,0.562640905380249,0.2985326647758484,-0.0652293786406517,0.5358833074569702,0.2552541196346283,-0.08080168813467026,0.6653844118118286,0.38316282629966736,-0.020987698808312416,0.6184894442558289,0.30577218532562256,-0.05680469051003456,0.5810684561729431,0.26288652420043945,-0.07988104224205017,0.543531060218811,0.21953068673610687,-0.09172171354293823,0.7081146240234375,0.37881311774253845,-0.034995514899492264,0.6605525016784668,0.3417713940143585,-0.08523791283369064,0.6604354381561279,0.429588258266449,-0.0874675065279007,0.6660486459732056,0.49343448877334595,-0.07436498999595642,0.75316321849823,0.3907318413257599,-0.050640128552913666,0.7095974087715149,0.3718963861465454,-0.08626265078783035,0.6914821267127991,0.4323095977306366,-0.08229373395442963,0.6833946108818054,0.4838598668575287,-0.07062377780675888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7406863570213318,0.5936604142189026,3.664645191747695e-07,0.6757253408432007,0.5739301443099976,-0.022404147312045097,0.6194193959236145,0.5159281492233276,-0.037808723747730255,0.5723579525947571,0.47370022535324097,-0.05728334188461304,0.5257726907730103,0.4519379436969757,-0.07553844153881073,0.6245246529579163,0.3884919583797455,-0.012372764758765697,0.5859693884849548,0.3174264430999756,-0.04182504117488861,0.5619221925735474,0.27037569880485535,-0.06464431434869766,0.5391690731048584,0.22362808883190155,-0.08069342374801636,0.6607029438018799,0.3685312271118164,-0.024105453863739967,0.6165405511856079,0.2862255871295929,-0.0588134229183197,0.5813559293746948,0.2387344092130661,-0.08233202993869781,0.5488995909690857,0.19033430516719818,-0.09535917639732361,0.7056209444999695,0.3709647059440613,-0.03959568217396736,0.6628682613372803,0.3262880742549896,-0.08826383948326111,0.6599227786064148,0.41441860795021057,-0.09014901518821716,0.664164662361145,0.4764431118965149,-0.07776239514350891,0.7526512742042542,0.39265328645706177,-0.05676112696528435,0.71156245470047,0.37082090973854065,-0.09141411632299423,0.6914243698120117,0.4310387074947357,-0.0871165469288826,0.6832269430160522,0.48130518198013306,-0.07561790198087692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7443276643753052,0.5989387035369873,2.80278698028269e-07,0.6763753890991211,0.5772280097007751,-0.022241022437810898,0.6172648668289185,0.5199306011199951,-0.03742418438196182,0.5692503452301025,0.4751930832862854,-0.056491196155548096,0.5245702862739563,0.4559937119483948,-0.07458063215017319,0.6241157650947571,0.3912355899810791,-0.012579422444105148,0.5871533751487732,0.3201138973236084,-0.04244245961308479,0.5644340515136719,0.2742735743522644,-0.0654618889093399,0.5430063009262085,0.22714680433273315,-0.08160410821437836,0.6611500382423401,0.3705155849456787,-0.02436167001724243,0.6155989170074463,0.28584855794906616,-0.058052971959114075,0.5814785361289978,0.23919282853603363,-0.08055344969034195,0.5496968626976013,0.19106058776378632,-0.0932931900024414,0.7065650820732117,0.3722803294658661,-0.040062837302684784,0.6649368405342102,0.327981173992157,-0.08780674636363983,0.6614030599594116,0.4123952388763428,-0.09038111567497253,0.6647548675537109,0.4736919403076172,-0.07918235659599304,0.753682017326355,0.3937298059463501,-0.05741308256983757,0.7116414904594421,0.36920008063316345,-0.09045997262001038,0.692084789276123,0.42980074882507324,-0.08583120256662369,0.684219241142273,0.4811607003211975,-0.07497136294841766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7472336888313293,0.6011636853218079,2.3880974708845315e-07,0.6800330281257629,0.5781533718109131,-0.021956952288746834,0.6217617988586426,0.5213106274604797,-0.03661080077290535,0.5748907923698425,0.475781112909317,-0.05528008192777634,0.5303643941879272,0.45567795634269714,-0.07295476645231247,0.6283778548240662,0.39282435178756714,-0.01148216426372528,0.5912476181983948,0.32086920738220215,-0.041362863034009933,0.5677773952484131,0.27480387687683105,-0.06470917910337448,0.5457625389099121,0.2275448739528656,-0.08113795518875122,0.6650509834289551,0.37194958329200745,-0.022921504452824593,0.6204180121421814,0.28648531436920166,-0.05588873475790024,0.5868613719940186,0.2414105087518692,-0.07775053381919861,0.5547844171524048,0.19485415518283844,-0.09021911770105362,0.7100999355316162,0.3727131187915802,-0.03844346106052399,0.6675485372543335,0.32791170477867126,-0.08506549149751663,0.6643956899642944,0.4112958312034607,-0.08743932098150253,0.6682970523834229,0.47209683060646057,-0.07659002393484116,0.757737398147583,0.3928779065608978,-0.05580775439739227,0.7168877124786377,0.3704162836074829,-0.0884464904665947,0.6965854167938232,0.4298122227191925,-0.08455532044172287,0.6875057220458984,0.48017221689224243,-0.07449255138635635,0.11295722424983978,0.8296414017677307,3.151320413508074e-07,0.18913975358009338,0.7553212642669678,-0.004549594596028328,0.24058908224105835,0.6736801266670227,-0.00956681091338396,0.27147841453552246,0.6141594052314758,-0.02109871245920658,0.29317641258239746,0.5751505494117737,-0.03277432173490524,0.22546257078647614,0.5680341124534607,0.013697962276637554,0.23871468007564545,0.46550440788269043,-0.005415872670710087,0.25496068596839905,0.42886558175086975,-0.023084748536348343,0.2672426104545593,0.41689592599868774,-0.033829446882009506,0.1855429857969284,0.5636062026023865,0.0006443874444812536,0.1977939009666443,0.46014928817749023,-0.021483056247234344,0.2151951789855957,0.4426734447479248,-0.03832142800092697,0.22476324439048767,0.4457133412361145,-0.046800676733255386,0.14084026217460632,0.5733891129493713,-0.015667349100112915,0.15455381572246552,0.5013433694839478,-0.04123390465974808,0.16490447521209717,0.5443308353424072,-0.042036253958940506,0.16490474343299866,0.5939863920211792,-0.03570070117712021,0.09348684549331665,0.598480224609375,-0.03320980444550514,0.11004967987537384,0.5376230478286743,-0.05064190924167633,0.12494851648807526,0.5665099620819092,-0.04408424347639084,0.12775029242038727,0.6069517731666565,-0.03437332063913345
8,0.7530716061592102,0.6049624681472778,1.5843971823414904e-07,0.6874239444732666,0.5827124118804932,-0.02255067601799965,0.6338323950767517,0.5224096775054932,-0.03689952939748764,0.5915214419364929,0.47090041637420654,-0.05485806614160538,0.5489264726638794,0.44318175315856934,-0.07176831364631653,0.6353192329406738,0.40345630049705505,-0.01369552779942751,0.5969379544258118,0.3346593677997589,-0.044936198741197586,0.5734394788742065,0.29165902733802795,-0.0693713054060936,0.5498480796813965,0.24721868336200714,-0.08649379014968872,0.6709904074668884,0.37946686148643494,-0.023918189108371735,0.6269270181655884,0.29806602001190186,-0.05846446380019188,0.5909050703048706,0.25746607780456543,-0.08118006587028503,0.5548387169837952,0.21679365634918213,-0.09445898979902267,0.7139158844947815,0.3770352602005005,-0.038041312247514725,0.6693077087402344,0.33508187532424927,-0.08404078334569931,0.6694925427436829,0.4169943332672119,-0.08504924923181534,0.6751031875610352,0.47573816776275635,-0.0738723874092102,0.7603940963745117,0.39274510741233826,-0.05425022915005684,0.7184871435165405,0.3721943497657776,-0.08625312894582748,0.7015346884727478,0.4326701760292053,-0.08170191943645477,0.695662796497345,0.4836307168006897,-0.07146189361810684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7520385980606079,0.6127870082855225,-1.282470041275019e-08,0.688146710395813,0.5820180773735046,-0.018982604146003723,0.6376826167106628,0.5191214084625244,-0.029879581183195114,0.6017774939537048,0.4657593369483948,-0.04469458758831024,0.5630300641059875,0.4347517788410187,-0.058635078370571136,0.6370112299919128,0.4153938293457031,-0.0013673017965629697,0.6030595302581787,0.3556345999240875,-0.02840205281972885,0.5810331702232361,0.3237399756908417,-0.05132119357585907,0.5576679706573486,0.29278767108917236,-0.06759918481111526,0.6741214394569397,0.3916025459766388,-0.011465311981737614,0.6347902417182922,0.32641977071762085,-0.04513728991150856,0.6020109057426453,0.3037037253379822,-0.06753759831190109,0.5687151551246643,0.2816353738307953,-0.07980839163064957,0.7171361446380615,0.38538262248039246,-0.02591351419687271,0.6766097545623779,0.3531044125556946,-0.06943246722221375,0.6739161014556885,0.43089133501052856,-0.07150233536958694,0.6758810877799988,0.4893433451652527,-0.061654526740312576,0.7642000913619995,0.3948109447956085,-0.042285457253456116,0.7230338454246521,0.381011426448822,-0.07313095033168793,0.707588791847229,0.43857431411743164,-0.06992696225643158,0.7023686766624451,0.4877963662147522,-0.06075934320688248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
