frame_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835873007774353,0.5497124791145325,-3.97731440671123e-07,0.4515474736690521,0.5018196105957031,-0.02618974819779396,0.5061507225036621,0.42124688625335693,-0.03829832375049591,0.5260477662086487,0.34434032440185547,-0.051680292934179306,0.4992668032646179,0.28547167778015137,-0.06158164143562317,0.46120816469192505,0.3110896944999695,-0.006865121424198151,0.47415292263031006,0.25813260674476624,-0.047067418694496155,0.47382113337516785,0.33147963881492615,-0.07201322168111801,0.47079765796661377,0.3910972774028778,-0.08075379580259323,0.41561245918273926,0.31185415387153625,-0.008121933788061142,0.4311685562133789,0.25771111249923706,-0.052225664258003235,0.4359002411365509,0.34683752059936523,-0.0672578513622284,0.4374561011791229,0.4125482439994812,-0.06563779711723328,0.369172602891922,0.3249475359916687,-0.015656618401408195,0.3800230324268341,0.26812371611595154,-0.056571125984191895,0.393858939409256,0.35231101512908936,-0.052001867443323135,0.4003151059150696,0.4137309789657593,-0.036136794835329056,0.3222515285015106,0.34985852241516113,-0.02559076063334942,0.3383750915527344,0.300385057926178,-0.05291517823934555,0.3572348952293396,0.35595884919166565,-0.046427588909864426,0.36640650033950806,0.4019514322280884,-0.03256692737340927
1,0.3792403042316437,0.7390085458755493,4.177288417395175e-07,0.45126381516456604,0.632497251033783,-0.002340938663110137,0.49862611293792725,0.5319197177886963,-0.0018095404375344515,0.5202502608299255,0.42502278089523315,-0.007432404439896345,0.49359607696533203,0.34258314967155457,-0.01183830201625824,0.46359309554100037,0.4529430568218231,0.04478379711508751,0.4745309054851532,0.3748534023761749,0.03307501599192619,0.4701700210571289,0.36357221007347107,0.018798649311065674,0.4633248448371887,0.3644509017467499,0.013150188140571117,0.4207015633583069,0.4480850100517273,0.04256764426827431,0.4425908625125885,0.37573006749153137,0.02764490805566311,0.4440557062625885,0.3956337571144104,0.01473004836589098,0.4459243714809418,0.4091342091560364,0.013349968940019608,0.37801629304885864,0.4555160403251648,0.03614475578069687,0.39289313554763794,0.38925397396087646,0.020420130342245102,0.40338221192359924,0.4134310781955719,0.024691473692655563,0.4118025302886963,0.43451133370399475,0.03608403727412224,0.33598247170448303,0.4717772901058197,0.029045959934592247,0.3471059799194336,0.3986215591430664,0.022858941927552223,0.355744868516922,0.40867167711257935,0.03378961235284805,0.3635777235031128,0.4223431944847107,0.04822221398353577,0.3910965323448181,0.5527431964874268,-3.606835718983348e-07,0.457328200340271,0.5151917934417725,-0.027521952986717224,0.5122354030609131,0.4431019127368927,-0.04098762199282646,0.5329267978668213,0.3719574213027954,-0.054917994886636734,0.508794903755188,0.3145201504230499,-0.06463607400655746,0.46943241357803345,0.32016682624816895,-0.011311267502605915,0.4809635579586029,0.26550862193107605,-0.052209433168172836,0.4789057970046997,0.3393772542476654,-0.07618371397256851,0.47444748878479004,0.3977587819099426,-0.08402060717344284,0.4227573871612549,0.32182198762893677,-0.012056205421686172,0.4332926571369171,0.2694248557090759,-0.05566512048244476,0.43804675340652466,0.3601660430431366,-0.06818539649248123,0.43999531865119934,0.42143651843070984,-0.06494785100221634,0.37567853927612305,0.3362521529197693,-0.01903187856078148,0.3813944160938263,0.2835289537906647,-0.06023778021335602,0.39595741033554077,0.3694894015789032,-0.053453899919986725,0.40287357568740845,0.4257389307022095,-0.03621770441532135,0.3287186026573181,0.3628286123275757,-0.028287559747695923,0.33881378173828125,0.3169265687465668,-0.05575816333293915,0.3584499657154083,0.3748288154602051,-0.04756840690970421,0.3684384524822235,0.41794267296791077,-0.032226283103227615
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947719931602478,0.5538548231124878,-3.349081509895768e-07,0.4591280221939087,0.5169240236282349,-0.025956755504012108,0.5136466026306152,0.44010332226753235,-0.037778325378894806,0.5340582728385925,0.36832961440086365,-0.04983154311776161,0.5095082521438599,0.3119035065174103,-0.0575130395591259,0.46837231516838074,0.32269662618637085,-0.012807317078113556,0.481655478477478,0.2650485038757324,-0.05019303038716316,0.479125052690506,0.33884283900260925,-0.07021606713533401,0.473870187997818,0.39436638355255127,-0.07590504735708237,0.42321738600730896,0.32495397329330444,-0.013460147194564342,0.43618133664131165,0.2706150412559509,-0.05507028475403786,0.44145533442497253,0.3610232472419739,-0.06572754681110382,0.442650705575943,0.41939032077789307,-0.06157765910029411,0.37719324231147766,0.3390171229839325,-0.019592387601733208,0.38603490591049194,0.28164029121398926,-0.05933144688606262,0.4009224772453308,0.36856669187545776,-0.05138294771313667,0.40683868527412415,0.4247033894062042,-0.03365856781601906,0.33054110407829285,0.36365094780921936,-0.027698151767253876,0.3426036834716797,0.3157731294631958,-0.05435267835855484,0.3625521659851074,0.37248024344444275,-0.04580023139715195,0.37158459424972534,0.4145987629890442,-0.0303620807826519
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39369601011276245,0.5423830151557922,-3.3186995551659493e-07,0.45819130539894104,0.5064679384231567,-0.02371809631586075,0.5106539726257324,0.42868688702583313,-0.033214762806892395,0.5313543677330017,0.3554142117500305,-0.04322943091392517,0.5069399476051331,0.3006124496459961,-0.048937179148197174,0.4674621820449829,0.3119405210018158,-0.009579303674399853,0.4776673913002014,0.25305986404418945,-0.04471826180815697,0.4769875407218933,0.32652294635772705,-0.06269656866788864,0.47261932492256165,0.3804016709327698,-0.06712058186531067,0.42254146933555603,0.3132663369178772,-0.010410008952021599,0.43303948640823364,0.2588564455509186,-0.05103253200650215,0.44051411747932434,0.3491862118244171,-0.06141117215156555,0.44170376658439636,0.4035497009754181,-0.056755516678094864,0.37726539373397827,0.3263792395591736,-0.016293680295348167,0.38412782549858093,0.26925432682037354,-0.05507136508822441,0.4003770649433136,0.355924129486084,-0.04663282632827759,0.4053645133972168,0.40822261571884155,-0.028454501181840897,0.33133646845817566,0.35015833377838135,-0.023896262049674988,0.34296685457229614,0.30073902010917664,-0.049618881195783615,0.3630569577217102,0.35796597599983215,-0.04010416939854622,0.3715008795261383,0.39888936281204224,-0.023782730102539062
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3956699073314667,0.5453893542289734,-3.1824825441617577e-07,0.45623183250427246,0.5134533643722534,-0.0267574954777956,0.5093222260475159,0.440639466047287,-0.03984726592898369,0.523788571357727,0.3737768530845642,-0.05247101932764053,0.5043363571166992,0.3228035867214203,-0.0606275275349617,0.4623638391494751,0.3161027431488037,-0.014339162036776543,0.47643205523490906,0.2581941485404968,-0.052210696041584015,0.4813830852508545,0.3281041085720062,-0.0721072182059288,0.4788084328174591,0.37706953287124634,-0.07810468226671219,0.41650184988975525,0.3184546232223511,-0.015201974660158157,0.4299083352088928,0.267330527305603,-0.05547582358121872,0.44074195623397827,0.3591628968715668,-0.06438642740249634,0.43989601731300354,0.4066334068775177,-0.05975935980677605,0.3707456588745117,0.33375847339630127,-0.02185329981148243,0.3824060559272766,0.2920721471309662,-0.06253199279308319,0.4004904627799988,0.3773649036884308,-0.05396736040711403,0.40198251605033875,0.4190368950366974,-0.0363251268863678,0.324906587600708,0.36119499802589417,-0.030264131724834442,0.340859591960907,0.3248094916343689,-0.055808525532484055,0.36289674043655396,0.38436049222946167,-0.04506609961390495,0.3667699098587036,0.4181963801383972,-0.028890836983919144
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39160221815109253,0.5422370433807373,-3.2772368285804987e-07,0.45786967873573303,0.5220026969909668,-0.03330635651946068,0.5138627290725708,0.48651614785194397,-0.059100620448589325,0.5396536588668823,0.4578861892223358,-0.08280856907367706,0.5167292356491089,0.45080792903900146,-0.10316093266010284,0.4596598148345947,0.31205540895462036,-0.04744604602456093,0.48584121465682983,0.39855626225471497,-0.09020375460386276,0.49051469564437866,0.4527643918991089,-0.11888773739337921,0.4874460697174072,0.4554349184036255,-0.13649901747703552,0.4039434790611267,0.3204280734062195,-0.05082034319639206,0.4416215121746063,0.4342479109764099,-0.08372940123081207,0.4491656720638275,0.481702983379364,-0.09602230787277222,0.44609886407852173,0.4724542796611786,-0.10555403679609299,0.35566967725753784,0.3553985357284546,-0.058357078582048416,0.39798295497894287,0.46628308296203613,-0.08493775874376297,0.40938547253608704,0.5012588500976562,-0.08316199481487274,0.4066208600997925,0.48671168088912964,-0.08237990736961365,0.31852084398269653,0.40299901366233826,-0.07055371254682541,0.3561854362487793,0.48722967505455017,-0.0865737646818161,0.3705368936061859,0.5158528089523315,-0.08521809428930283,0.36905691027641296,0.5064035058021545,-0.08345846831798553
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38591229915618896,0.4821614921092987,-1.962056614956964e-07,0.45152920484542847,0.4753296971321106,-0.03629794716835022,0.5105612874031067,0.4683995842933655,-0.06713399291038513,0.540778398513794,0.4765212833881378,-0.09396299719810486,0.5168543457984924,0.509443998336792,-0.11900047957897186,0.4599142074584961,0.32755181193351746,-0.07835910469293594,0.4931817054748535,0.4624732732772827,-0.1200188547372818,0.4944958984851837,0.4968605637550354,-0.14400888979434967,0.4862891435623169,0.4811882972717285,-0.16041426360607147,0.4032013416290283,0.3443818986415863,-0.08071769773960114,0.45267555117607117,0.49814069271087646,-0.10968755185604095,0.457404226064682,0.5101298689842224,-0.1117023155093193,0.4489614963531494,0.4835357367992401,-0.11814668774604797,0.357308030128479,0.3841042220592499,-0.08558357506990433,0.4107089638710022,0.52675861120224,-0.10545988380908966,0.41577792167663574,0.5251197218894958,-0.09275317937135696,0.4064290225505829,0.48842963576316833,-0.0875629335641861,0.3232240676879883,0.43312233686447144,-0.09641091525554657,0.36726388335227966,0.5364481210708618,-0.11309442669153214,0.3757442831993103,0.5351930856704712,-0.11078673601150513,0.36753717064857483,0.5056971311569214,-0.109934501349926
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38067612051963806,0.468986451625824,-1.1818204370683816e-07,0.44192081689834595,0.4692908525466919,-0.03613290190696716,0.5026168823242188,0.47775769233703613,-0.0667252242565155,0.5363032221794128,0.4912985563278198,-0.09324851632118225,0.5102524757385254,0.5209043622016907,-0.11826524138450623,0.4605814814567566,0.3379925787448883,-0.07586970180273056,0.4958426058292389,0.4830962121486664,-0.11536446213722229,0.48912322521209717,0.5074663162231445,-0.13910984992980957,0.47643089294433594,0.4839755594730377,-0.15631191432476044,0.40260010957717896,0.35567203164100647,-0.07828445732593536,0.4514666497707367,0.5156893134117126,-0.10646022856235504,0.4509979486465454,0.5126452445983887,-0.10834833979606628,0.44266921281814575,0.4798404574394226,-0.11529859155416489,0.3549852669239044,0.39537546038627625,-0.08324436843395233,0.4060739576816559,0.5395139455795288,-0.1026015430688858,0.4087257385253906,0.52630615234375,-0.08886343985795975,0.40209507942199707,0.4857061207294464,-0.08280446380376816,0.32036930322647095,0.4431550204753876,-0.094206802546978,0.36270850896835327,0.5478926301002502,-0.11129283159971237,0.36922651529312134,0.5334463715553284,-0.10913007706403732,0.3625287413597107,0.49604856967926025,-0.1083010882139206
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3860880434513092,0.5525738000869751,-1.936845990258007e-07,0.4475526213645935,0.5355572700500488,-0.03436007723212242,0.5016635656356812,0.5084260106086731,-0.06136324629187584,0.5294559001922607,0.47925326228141785,-0.08571920543909073,0.5001089572906494,0.47150349617004395,-0.10678185522556305,0.45759618282318115,0.3274630606174469,-0.04618918523192406,0.48048722743988037,0.42394670844078064,-0.08980625122785568,0.47826457023620605,0.475809246301651,-0.11985428631305695,0.4715568721294403,0.46769776940345764,-0.1383308619260788,0.4008919298648834,0.3338198661804199,-0.04897298291325569,0.43295982480049133,0.45276811718940735,-0.08225598931312561,0.4365931749343872,0.5004887580871582,-0.09313331544399261,0.4318418800830841,0.48611152172088623,-0.10151050239801407,0.35133758187294006,0.36654138565063477,-0.05633172392845154,0.38561272621154785,0.47691649198532104,-0.08423367887735367,0.39443376660346985,0.5097532868385315,-0.08240843564271927,0.3897213339805603,0.48845964670181274,-0.08081549406051636,0.3118082880973816,0.41081729531288147,-0.0680009201169014,0.3409472107887268,0.4892066717147827,-0.0843360424041748,0.35251516103744507,0.5118943452835083,-0.0829576700925827,0.3500669002532959,0.49682313203811646,-0.08086208254098892
9,0.40326324105262756,0.6931298971176147,-2.638560090417741e-07,0.4681360125541687,0.6146799325942993,-0.012370622716844082,0.5190067291259766,0.5228733420372009,-0.022360909730196,0.5375747680664062,0.46295374631881714,-0.03519335389137268,0.5006075501441956,0.4506535828113556,-0.042942509055137634,0.4536280333995819,0.36396291851997375,0.004267971031367779,0.4688875675201416,0.3719068169593811,-0.02882310189306736,0.47657206654548645,0.43631690740585327,-0.052386574447155,0.4791144132614136,0.46407878398895264,-0.06230466440320015,0.399984747171402,0.3637426793575287,0.000576482096221298,0.42462465167045593,0.42749306559562683,-0.018446708098053932,0.4377897083759308,0.48036253452301025,-0.024579305201768875,0.4428713023662567,0.48498642444610596,-0.025082338601350784,0.35264188051223755,0.3914501965045929,-0.008600684814155102,0.38167306780815125,0.46362221240997314,-0.018251072615385056,0.39366427063941956,0.5014196038246155,-0.007138661574572325,0.3950161337852478,0.4965667128562927,0.002215239917859435,0.3139488697052002,0.42813533544540405,-0.02210455760359764,0.34079232811927795,0.48421353101730347,-0.02079281210899353,0.3561936616897583,0.5162875056266785,-0.009927041828632355,0.35822632908821106,0.5159169435501099,0.0012433266965672374,0.3858337700366974,0.5531801581382751,-3.356628894835012e-07,0.4486153721809387,0.5311668515205383,-0.03202040493488312,0.5045744776725769,0.4953423738479614,-0.05674320086836815,0.5293064117431641,0.4571261405944824,-0.07985417544841766,0.5001882314682007,0.44128161668777466,-0.09910634905099869,0.4567791223526001,0.3118025064468384,-0.03463476896286011,0.4779140055179596,0.379637211561203,-0.0776284709572792,0.4766809940338135,0.44474345445632935,-0.10736158490180969,0.4738554060459137,0.4634426236152649,-0.12377642095088959,0.3996266722679138,0.31462782621383667,-0.037176113575696945,0.4289535582065582,0.40905994176864624,-0.0710674524307251,0.4334094226360321,0.472391813993454,-0.0832487940788269,0.4315546452999115,0.4802284836769104,-0.08926251530647278,0.34920328855514526,0.3430366814136505,-0.04470027983188629,0.38301339745521545,0.43738195300102234,-0.07064808160066605,0.3915584087371826,0.4850836992263794,-0.06663895398378372,0.38985592126846313,0.4825717806816101,-0.06179017201066017,0.30820950865745544,0.3849303126335144,-0.0567157045006752,0.3370652496814728,0.45280903577804565,-0.06889136880636215,0.3516492247581482,0.4913468062877655,-0.06274319440126419,0.35397690534591675,0.4916343092918396,-0.05581923946738243
